,costToReach,items
Cobb's Knob Kitchens,2,"['oven mitts (5)', 'overcookie (20)', 'dry noodles (15)', 'Knob Goblin spatula (15)', 'Knob mushroom (15)', 'spices (15)', 'Knob Goblin spatula (7)', 'Knob sausage (15)', 'tomato (15)', 'wad of dough (15)', 'Knob Goblin elite helm (100)', 'Knob Goblin elite pants (100)', 'Knob Goblin elite polearm (100)']"
Infernal Rackets Backstage,2,"['bus pass (15)', 'bus pass (25)', 'bus pass (20)', 'folder (rainbow unicorn) (c0)']"
The Old Rubee Mine,7,"['Rubee&trade; (n100)', 'Rubee&trade; (n100)']"
Glass Island,7,[]
Crab Island,7,[]
The Weird Swamp Village,7,"['fine aged cheddarwurst (0)', 'muddy pirate hat (0)', 'turtle mud (c0)', 'fine aged cheddarwurst (0)', 'seegar butt (0)', 'moonberry wine cooler (0)', 'dilapidated wizard hat (0)', 'bouquet of swamp roses (0)', 'floral-print skirt (0)', 'pogo stick (0)']"
Hippy Camp In Disguise,7,[]
Battle Island,7,['melty plastic grenade']
The Dark and Spooky Swamp,7,"['moonberry wine cooler (0)', 'bottled swamp gas (0)', 'delicious swamp muck (0)', 'decomposed boot (0)', 'moonberry wine cooler (0)', 'witch wart (0)', 'vial of swamp vapors (c0)']"
The Druidic Campsite,7,"['Rubee&trade; (n100)', 'Rubee&trade; (n100)']"
The Ruined Wizard Tower,7,"['fine aged cheddarwurst (0)', 'stolen meatpouch (0)', 'moonberry wine cooler (0)', 'big dribbly candle (0)', 'haunted flame (c0)', 'moonberry wine cooler (0)', 'bottled swamp gas (0)']"
The Barrow Mounds,7,"['Rubee&trade; (n100)', 'Rubee&trade; (n100)']"
The Dungeons of Doom,7,"['baby killer bee (5)', 'royal jelly (25)', 'magic whistle (15)', 'blob of acid (c0)', 'mind flayer corpse (25)', 'cornuthaum (15)', 'large box (20)', 'flayed mind (c0)', 'ring of aggravate monster (15)', 'small box (40)', 'kobold kibble (c0)', 'large box (40)', 'vorpal blade (15)', 'pile of gold coins (p20)', 'dead mimic (n100)', 'Platinum Yendorian Express Card (100)']"
The Foreboding Cave,7,"['Rubee&trade; (n100)', 'Rubee&trade; (n100)']"
The Archwizard's Tower,7,"[""the Archwizard's briefs (n100)""]"
The Evil Cathedral,7,"['Rubee&trade; (n100)', 'Rubee&trade; (n100)']"
The Faerie Cyrkle,7,"['Rubee&trade; (n100)', 'Rubee&trade; (n100)']"
Skull Island,7,[]
Barrrney's Barrr,7,"['bottle of rum (20)', 'cocktail napkin (10)', 'bottle of rum (20)', 'bottle of rum (15)', 'cocktail napkin (10)', 'rum barrel charrrm (5)', 'tip jar (5)', 'bottle of rum (20)', 'cocktail napkin (10)', 'gold toothbrush (c0)']"
Dessert Island,7,['oversized ice molecule']
Cobb's Knob Laboratory,7,"['half-baked potion (25)', ""philosopher's scone (15)"", 'Knob Goblin love potion (10)', 'Knob Goblin seltzer (15)', 'Knob Goblin steroids (10)', 'Knob Goblin melon baller (5)', 'Knob Goblin seltzer (15)', 'Knob Goblin superseltzer (15)', 'scrumptious reagent (25)', 'bunch of square grapes (c19)', 'smudged alchemical recipe (p5)', ""Cobb's Knob Menagerie key (c0)"", 'Subject 37 file (c0)']"
The Troll Fortress,7,"['Rubee&trade; (n100)', 'Rubee&trade; (n100)']"
The Cursed Village Thieves' Guild,7,"['Rubee&trade; (n100)', 'Rubee&trade; (n100)']"
The Knob Shaft,7,"['bubblewrap ore (10)', 'bubblewrap ore (10)', 'cardboard ore (10)', 'cardboard ore (10)', 'styrofoam ore (10)', 'styrofoam ore (10)']"
The Wildlife Sanctuarrrrrgh,7,"['fine aged cheddarwurst (0)', 'beaver spear (0)', 'delicious swamp muck (0)', 'decomposed boot (0)', 'fine aged cheddarwurst (0)', 'seegar butt (0)']"
The Mystic Wood,7,['Rubee&trade; (n100)']
Near the Witch's House,7,"['Rubee&trade; (n100)', 'Rubee&trade; (n100)']"
Swamp Beaver Territory,7,"['fine aged cheddarwurst (0)', 'balaclava (0)', 'moonberry wine cooler (0)', 'shamanic beads (0)', 'fine aged cheddarwurst (0)', 'beaver spear (0)', 'branch from the Great Tree (0)', 'super-strong air freshener (0)']"
The Corpse Bog,7,"['delicious swamp muck (0)', 'leechknife (0)', 'delicious swamp muck (0)', 'skeleton bone (0)', 'moonberry wine cooler (0)', 'witch wart (0)', 'vial of swamp vapors (c0)', 'spectral axe (0)', ""Phil Bunion's axe (c0)""]"
The Ogre Chieftain's Keep,15,['belt of Ogrekind (n100)']
Frat House In Disguise,15,[]
"The ""Fun"" House",15,"['box (20)', 'bugbear beanie (10)', 'bugbear bungguard (10)', 'box (30)', 'disease (40)', 'box (20)', 'lemon (50)', 'big red clown nose (10)', 'bloody clown pants (10)', 'long skinny balloon (40)', 'big bass drum (4)', 'clown skin (10)', 'polka-dot bow tie (p5)', 'bloody clown pants (15)', 'big red clown nose (15)', 'bottle of gin (10)', 'bottle of rum (10)', 'bottle of tequila (10)', 'bottle of whiskey (10)', 'bottle of vodka (10)', 'boxed wine (10)', 'clown skin (10)', 'polka-dot bow tie (p5)', 'acid-squirting flower (10)', 'clown shoes (10)', ""foolscap fool's cap (10)"", 'clown skin (10)', 'big bass drum (4)', 'polka-dot bow tie (p5)']"
Signal Island,15,['signal fragment']
"Cobb's Knob Menagerie, Level 1",15,"['GOTO (30)', 'optimal spreadsheet (100)', 'cherry (15)', 'orange (15)', 'lime (15)', 'grapefruit (15)', 'grapes (15)', 'lemon (15)', 'orange (15)', 'strawberry (15)', 'optimal spreadsheet (100)']"
"Cobb's Knob Menagerie, Level 2",15,"['moxie weed (30)', 'giant moxie weed (15)', 'giant moxie weed (15)', 'leaf of grass (0)', 'folder (Ex-Files) (c0)', 'weremoose spit (0)']"
The Dragon's Moor,15,['Dragonscale breastplate (n100)']
"Cobb's Knob Menagerie, Level 3",15,"['bottle of gin (15)', 'bottle of rum (15)', 'bottle of tequila (15)', 'bottle of vodka (15)', 'bottle of whiskey (15)', 'boxed wine (15)', 'giant breath mint (c0)', 'abominable blubber (0)', 'spectral jelly (p1)']"
The Poop Deck,15,"['cannonball charrrm (10)', 'yohohoyo (5)', 'pirate cream pie (c0)', ""copper ha'penny charrrm (10)"", 'fish-liver oil (30)', 'vinegar-soaked lemon slice (30)', 'booty chest charrrm (10)', 'solid gold pegleg (5)', 'fat wallet (p10)', 'bilge wine (30)', 'witty rapier (10)', 'silver tongue charrrm (10)']"
The Master Thief's Chalet,15,"[""Master Thief's utility belt (n100)""]"
Prison Island,15,[]
Belowdecks,15,"['costume sword (5)', 'enormous hoop earring (10)', 'gold lam&eacute; pants (5)', 'gaudy key (c100)', 'grassy cutlass (10)', 'true grit (30)', ""keel-haulin' knife (0)"", 'buoybottoms (10)', 'acoustic guitarrr (20)', 'grungy bandana (10)', 'grungy flannel shirt (c5)']"
The Orcish Frat House (Bombed Back to the Stone Age),15,"['ovoid leather thing (20)', 'chunk of rock salt (20)', 'stone baseball cap (10)', 'stone baseball cap (5)', 'cup of primitive beer (10)', 'chunk of rock salt (20)', 'ovoid leather thing (10)', 'cup of primitive beer (25)']"
Trash Island,15,[]
Jungle Island,15,[]
Red Roger's Fortress,15,"[""Red Roger's reliquary (n100)""]"
Cemetery Island,15,[]
Isla Gublar,15,[]
The F'c'le,15,"['Swabbie&trade; swab (20)', ""Tom's of the Spanish Main Toothpaste (20)"", 'rigging shampoo (c30)', 'bit of clingfilm (11)', 'bit of clingfilm (11)', 'creamsicle (20)', 'cream stout (20)', 'Oil of Parrrlay (15)', 'ball polish (c30)', 'barrrnacle (15)', 'tarrrnish charrrm (10)', 'all-purpose cleaner (25)', 'curmudgel (5)', 'grumpy old man charrrm (10)', 'handful of sawdust (30)', 'mizzenmast mop (c30)']"
Tower Ruins,15,"['disembodied brain (30)', 'wad of dough (30)', 'eldritch dough (c0)', 'taco shell (30)', 'uncooked chorizo (30)', 'wad of dough (50)', 'wad of dough (50)', 'grapefruit (15)', 'grapes (15)', 'lemon (15)', 'orange (15)', 'strawberry (15)']"
Duke Vampire's Chateau,15,"[""Duke Vampire's regal cloak (n100)""]"
Itznotyerzitz Mine (in Disguise),15,[]
The Lair of the Phoenix,15,['nozzle of the Phoenix (n100)']
The Ghoul King's Catacomb,15,"[""The Ghoul King's ghoulottes (n100)""]"
The Fungal Nethers,15,"['fizzing spore pod (0)', 'Knob mushroom (0)', 'paisley spore pod (0)', 'Knoll mushroom (0)', 'veiny spore pod (0)', 'stinky mushroom (0)', 'hard spore pod (0)', 'warm mushroom (0)', 'glowing spore pod (0)', 'pointy mushroom (0)', 'hot spore pod (0)', 'flaming mushroom (0)', 'cool spore pod (0)', 'cool mushroom (0)', 'jingling spore pod (0)', 'frozen mushroom (0)']"
Storm Island,15,['windicle']
The Ley Nexus,15,"[""the Ley Incursion's waist (n100)""]"
The Road to the White Citadel,15,"['poppy (30)', 'poppy (10)', 'duonoculars (c100)', 'giant spider leg (c100)', 'wand of pigification (c100)', 'wand of pigification (c100)', '&Uuml;berraschthexengebr&auml;u (c0)', 'filthy corduroys (10)', 'filthy knitted dread sack (10)', 'herbs (20)', 'reodorant (10)', 'poutine (30)', 'disbelief suspenders (10)', 'jack flapper (10)', 'manly bloomers (p15)', 'white sword (15)', 'white satin pants (15)', 'white satin shield (8)', 'white page (5)', 'half-baked potion (25)', ""philosopher's scone (15)"", 'Imp Ale (30)', 'ruby W (30)', 'wussiness potion (30)', 'infernal fife (10)']"
Tiki Island,15,"['hibiscus petal', 'huge mint leaf', 'pineapple slab']"
The Laugh Floor,1000,"['imp air (20)', 'imp air (25)', 'imp air (15)', 'hilarious comedy prop (100)', 'observational glasses (100)', 'Victor, the Insult Comic Hellhound Puppet (100)']"
The Arrrboretum,1000,[]
The Crimbonium Mine,1000,[]
Jack's Hideout,1000,[]
The Knob Shaft (Mining),1000,[]
The Limerick Dungeon,1000,[]
The Jungles of Ancient Loathing,1000,"['ancient stone fist (0)', 'ancient stone head (0)', ""memory of a cultist's robe (0)"", 'banana peel (0)', 'glass of baboon milk (0)', 'goblin autoblowgun (0)', 'goblin hunting spear (0)', 'shiny tribal beads (0)', 'folder (barbarian) (c0)', 'temporary tribal tattoo (c0)', 'fossilized necklace (c100)', 'memory of a glowing crystal (c0)', 'wumpus hair (n100)']"
The Poker Room,1000,[]
The Prince's Dance Floor,1000,[]
St. Sneaky Pete's Day Stupor,1000,[]
The Prince's Kitchen,1000,[]
The Mean Streets,1000,[]
The Prince's Balcony,1000,[]
The Prince's Lounge,1000,[]
The Prince's Canapes Table,1000,[]
The Jungle,1000,"['beefy pill (0)', 'baby killer bee (5)', 'royal jelly (25)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'bucket of honey (20)', 'elephant stinger (0)', 'reflection of a map (c10)', 'vibrating cyborg knife (0)', 'handful of sand (25)', 'handful of sand (15)', 'scorpion whip (5)', 'delicious swamp muck (0)', 'skeleton bone (0)', 'really thick spine (0)', 'oversized skullcap (0)', 'three-legged pants (0)', 'skeleton bone (0)', 'loose teeth (0)', 'alien autoautopsy kit (c0)', 'synthetic marrow (0)', 'rubber ribcage (0)', 'funny bone (0)', 'cherry (0)', 'cherry (0)', 'grapefruit (0)', 'grapefruit (0)', 'orange (0)', 'orange (0)', 'strawberry (0)', 'strawberry (0)', 'lemon (0)', 'lemon (0)', 'novelty fruit hat (c0)', 'red box (15)', 'red blood cells (25)', 'red eye (5)', 'Red Army camouflage kit (c0)', 'skeleton bone (0)', 'remaindered axe (0)', 'low-budget shield (0)', 'beer-soaked mop (10)', 'ice-cold Willer (30)', 'ice-cold Willer (30)', 'tap shoes (5)', 'worn tophat (5)', ""janglin' bones (c0)"", 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'old ball and chain (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'frying brainpan (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'tonguebone (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'old dry bone (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'tailbone shield (c0)', 'x-ray mirror (c0)', 'spooky lasso (20)', 'plaid cowboy hat (5)', ""rusted-out shootin' iron (5)"", 'skeleton beans (c0)', 'fossilized necklace (c100)', 'fossilized necklace (c100)', 'fossilized necklace (c100)', 'fossilized necklace (c100)', 'fossilized necklace (c100)', 'fossilized necklace (c100)', 'bone chips (30)', 'bone chips (30)', 'bone chips (20)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (0)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (0)', 'bone chips (0)', 'bag of bones (0)', 'Haunted Sorority House staff guide (0)', 'press-on ribs (0)', ""Bone's Farm &quot;wine&quot; (0)"", 'throwing bone (0)', 'extremely skinny jeans (0)']"
The Island Barracks,1000,"['spangly mariachi pants (0)', 'spangly mariachi vest (0)', 'spangly sombrero (0)', 'spangly mariachi pants (0)', 'spangly mariachi vest (0)', 'spangly sombrero (0)', 'spangly mariachi pants (0)', 'spangly mariachi vest (0)', 'spangly sombrero (0)', 'alarm accordion (a0)']"
The Prince's Restroom,1000,[]
Rumpelstiltskin's Workshop,1000,[]
Pump Up Mysticality,1000,[]
Pump Up Muscle,1000,[]
The Mansion of Dr. Weirdeaux,1000,['experimental serum P-00 (0)']
The Landscaper's Lair,1000,"['machetito (0)', 'pointy red hat (0)', 'stick-on gnome beard (c0)', 'lawnmower blade (0)', 'grass clippings (0)', 'pointy red hat (0)', 'pointy red hat (0)', 'lawnmower blade (0)', 'grass clippings (0)']"
The Marinara Trench,1000,"['diving muff (n3)', 'salinated mint julep (32)', 'water-polo mitt (c0)', 'comb jelly (0)', 'glowing esca (n3)', 'halibut (c3)', 'rough fish scale (n3)', 'ink bladder (n30)', 'inky squid sauce (0)', 'old chum (0)', 'Mer-kin foodbucket (n15)', 'Mer-kin hookspear (n2)', 'Mer-kin pressureglobe (n9)', 'Mer-kin thingpouch (n25)']"
Friar Ceremony Location,1000,[]
Anemone Mine (Mining),1000,[]
"The Mall of Loathing, 28 Days Later",1000,"['cranberries (0)', 'zombie pineal gland (0)', 'piece of wedding cake (0)', 'zombie pineal gland (0)', 'bloody clown pants (0)', 'long skinny balloon (0)', 'big red clown nose (0)', 'zombie pineal gland (0)', 'ice-cold Sir Schlitz (0)', 'bottle of tequila (0)', 'Orcish frat-paddle (0)', 'zombie pineal gland (0)', 'deodorant (0)', 'filthy corduroys (0)', 'filthy knitted dread sack (0)', 'windchimes (0)', 'reodorant (0)', 'zombie pineal gland (0)', 'loose teeth (0)', 'cranberries (0)', 'zombie pineal gland (0)']"
Goat Party,1000,[]
The Labyrinthine Crypt,1000,"['Rubee&trade; (n100)', 'Rubee&trade; (n100)']"
The Maelstrom of Lovers,1000,"[""Barulio's bottle (0)"", 'jar full of wind (0)', 'jar full of wind (0)', 'jar full of wind (0)', 'jar full of wind (0)', 'purple prose pen (0)', 'jar full of wind (0)', ""Marvin's marvelous pill (0)"", 'jar full of wind (0)', 'jar full of wind (0)', ""Mortimer's nostrum (0)"", 'jar full of wind (0)', 'jar full of wind (0)', ""Winifred's whistle (0)"", 'lecherous stone (100)', 'jealousy stone (100)']"
Lemon Party,1000,[]
"Market Square, 28 Days Later",1000,"['Mad Train wine (0)', 'dirty hobo gloves (0)', 'moxie weed (0)', 'zombie pineal gland (0)', 'razor-sharp can lid (0)', 'asparagus knife (0)', 'stalk of asparagus (0)', 'zombie pineal gland (0)', 'frilly shirt (0)', 'frilly skirt (0)', 'gnoll teeth (0)', 'maiden wig (0)', 'zombie pineal gland (0)', 'Knob Goblin tongs (0)', 'Knob Goblin pants (0)', ""chef's hat (0)"", 'zombie pineal gland (0)', 'wad of dough (0)', 'wad of dough (0)', 'zombie pineal gland (0)', 'Knob Goblin elite helm (0)', 'Knob Goblin elite pants (0)', 'Knob Goblin elite polearm (0)', 'Knob Goblin elite shirt (0)', 'zombie pineal gland (0)']"
The Mine Foremens' Office,1000,[]
Pirate Party,1000,[]
The Icy Peak in The Recent Past,1000,"['yeti fur (0)', 'scroll of pasta summoning (0)', 'delicious noodles (0)', 'iron pasta spoon (0)', 'support cummerbund (0)', 'Mob Penguin cellular phone (0)', 'mafia aria (0)', 'kneecapping stick (0)', 'penguin skin (0)']"
Portal to Terrible Parents,1000,[]
Post-Quest Bugbear Pens,1000,[]
Pump Up Moxie,1000,[]
"Wrong Side of the Tracks, 28 Days Later",1000,"['cursed breeches (n0)', 'cursed cutlass (n0)', 'cursed eyepatch (n0)', 'folder (skull and crossbones) (c0)', 'snowboarder pants (0)', 'eXtreme mittens (0)', 'Mountain Stream soda (0)', 'zombie pineal gland (0)', 'thin black candle (0)', 'Warm Subject gift certificate (0)', 'awful poetry journal (0)', 'zombie pineal gland (0)', ""draggin' ball hat (0)"", '33398 scroll (0)', 'zombie pineal gland (0)', 'scroll of drastic healing (0)', 'amulet of extreme plot significance (0)', 'soft green echo eyedrop antidote (0)', 'zombie pineal gland (0)']"
The Temple,1000,['pewter shavings']
The Valley of Rof L'm Fao,1000,"['334 scroll (20)', 'Dyspepsi-Cola (70)', '1337 7r0uZ0RZ (15)', 'Accordion of Jordion (a0)', '334 scroll (30)', 'Tasty Fun Good rice candy (40)', 'caret (p5)', 'flaming talons (10)', 'Trollhouse cookies (40)', '33398 scroll (30)', ""draggin' ball hat (10)"", 'plastic guitar (10)', 'Nardz energy beverage (p30)', 'meat vortex (100)', '30669 scroll (30)', 'Spam Witch sammich (50)', 'f3d0r4 (15)', 'lowercase N (30)', 'pr0n legs (40)', 'ASCII shirt (c100)', '30669 scroll (100)', '33398 scroll (100)', '334 scroll (100)', '334 scroll (100)']"
The Mines,1000,"['batgut (10)', 'bat guano (10)', 'anemone nematocyst (n25)', 'baseball (30)', 'sonar-in-a-biscuit (10)', 'bat wing (15)', 'bat guano (15)', 'batgut (15)', 'sonar-in-a-biscuit (15)', 'gremlin juice (3)', 'molybdenum hammer (c0)', 'gremlin juice (3)', 'molybdenum hammer (c0)', 'enchanted bean (50)', 'sonar-in-a-biscuit (10)', 'beefy pill (0)', 'tattered scrap of paper (15)', 'bat guano (10)', 'briefcase (40)', 'sonar-in-a-biscuit (10)', 'bottle of Monsieur Bubble (25)', 'fancy bath salts (35)', 'sonar-in-a-biscuit (10)', 'wad of dough (30)', 'bat wing (30)', 'batblade (25)', 'batgut (30)', 'batgut (15)', 'bat wing (15)', 'sonar-in-a-biscuit (10)', 'perpendicular guano (c0)', 'guancertina (a0)', 'bat wing (15)', 'Pine-Fresh air freshener (15)', 'batgut (15)', 'rat appendix (15)', 'ratgut (15)', 'ratarang (p5)', 'sonar-in-a-biscuit (15)', 'bat guano (15)', 'batgut (15)', 'bat wing (15)', 'broken skull (40)', 'loose teeth (20)', 'sonar-in-a-biscuit (15)', 'smoking talon (c0)', 'leathery bat skin (30)', 'unidentified jerky (10)', 'mummy wrapping (20)', 'bat wing (15)', 'batgut (15)', 'sonar-in-a-biscuit (10)', 'BURT (100)', 'neoprene skullcap (n100)', 'BRICKO brick (0)', 'BRICKO brick (0)', 'BRICKO brick (0)', 'straw (0)', 'straw (0)', 'straw (0)', 'straw (0)', 'straw pole (c0)', 'Rubee&trade; (n100)', 'Rubee&trade; (n100)', 'fossilized necklace (c100)', 'old coin purse (25)', 'old leather wallet (25)', 'half of a memo (c0)', 'old coin purse (25)', 'old leather wallet (25)', 'grouchy restless spirit (80)', 'grouchy restless spirit (80)', 'The Stankara Stone (0)', 'carton of snake milk (0)', 'carton of snake milk (0)', 'sewer snake (0)', 'white snake skin (30)', 'bird rib (25)', 'snake oil (100)', 'snake oil (100)', 'snake oil (100)', 'snake oil (100)', 'snake oil (100)', 'anise-flavored venom (0)', 'licorice whip (0)', 'half-digested coal (0)', 'snake skin (0)', 'beholed bedsheet (0)', 'invisible bag (0)', 'witch hat (0)', 'floaty sand (25)', 'The Lacrosse Stick of Lacoronado (n100)', 'spider web (25)', 'spider web (25)', 'spider web (25)', 'spider web (25)', 'rubber nubbin (100)', 'rusty hedge trimmers (15)', 'pestopiary (15)', 'gremlin juice (3)', 'molybdenum pliers (c0)', 'gremlin juice (3)', 'molybdenum pliers (c0)', 'giant spider leg (c100)', 'quantum nanopolymer spider web (0)', 'white pixel (0)', 'red pixel (0)', 'black pixel (0)', 'pixel power cell (0)', 'spider web (0)', 'spider web (0)', 'wad of spider silk (0)', 'spider web (0)', 'Knob Goblin firecracker (0)', 'wad of spider silk (0)', 'goblin collarbone (0)', 'razor-sharp can lid (0)', 'spider web (0)', 'sharp tin strip (0)', 'wad of spider silk (0)', 'radioactive spider venom (c0)', 'spidercow eye-cluster (0)', 'wet venom duct (0)', 'fossilized necklace (c100)']"
The Snake Pit,1000,"['The Stankara Stone (0)', 'carton of snake milk (0)', 'carton of snake milk (0)', 'sewer snake (0)', 'white snake skin (30)', 'bird rib (25)', 'snake oil (100)', 'snake oil (100)', 'snake oil (100)', 'snake oil (100)', 'snake oil (100)', 'anise-flavored venom (0)', 'licorice whip (0)', 'half-digested coal (0)', 'snake skin (0)', 'beholed bedsheet (0)', 'invisible bag (0)', 'witch hat (0)', 'floaty sand (25)', 'The Lacrosse Stick of Lacoronado (n100)']"
The Space Odyssey Discotheque,1000,"['discocktail (c0)', 'discocktail (c0)', 'discocktail (c0)']"
The Spider Hole,1000,"['spider web (25)', 'spider web (25)', 'spider web (25)', 'spider web (25)', 'rubber nubbin (100)', 'rusty hedge trimmers (15)', 'pestopiary (15)', 'gremlin juice (3)', 'molybdenum pliers (c0)', 'gremlin juice (3)', 'molybdenum pliers (c0)', 'giant spider leg (c100)', 'quantum nanopolymer spider web (0)', 'white pixel (0)', 'red pixel (0)', 'black pixel (0)', 'pixel power cell (0)', 'spider web (0)', 'spider web (0)', 'wad of spider silk (0)', 'spider web (0)', 'Knob Goblin firecracker (0)', 'wad of spider silk (0)', 'goblin collarbone (0)', 'razor-sharp can lid (0)', 'spider web (0)', 'sharp tin strip (0)', 'wad of spider silk (0)', 'radioactive spider venom (c0)', 'spidercow eye-cluster (0)', 'wet venom duct (0)', 'fossilized necklace (c100)']"
The Spider Queen's Lair,1000,['leggings of the Spider Queen (n100)']
VYKEA,1000,"['VYKEA instructions (0)', 'VYKEA woadpaint (0)', 'VYKEA hex key (0)', 'VYKEA instructions (0)', 'VYKEA woadpaint (0)', 'VYKEA hex key (0)']"
The Spirit World,1000,"['spirit bell (n100)', 'spirit gum (5)', 'spirit gum (5)', 'spirit gum (5)']"
Video Game Level 3,1000,[]
Video Game Level 2,1000,[]
Video Game Level 1,1000,[]
Vanya's Castle Foyer,1000,"['black pixel (0)', 'brown pixel (0)', 'brown pixel (0)', 'bubblewrap ore (10)', 'bubblewrap ore (10)', 'cardboard ore (10)', 'cardboard ore (10)', 'styrofoam ore (10)', 'styrofoam ore (10)', ""Elizabeth's Dollie (100)"", ""Elizabeth's paintbrush (100)"", 'plaid swatch (20)', 'ghost key (15)', 'sheet cake (15)', 'ghost toga (5)', 'spectral axe (0)', ""Phil Bunion's axe (c0)"", 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'BOOtonniere (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'vengeful spirit (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'transparent pants (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'ghost thread (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'bag of unfinished business (c0)', 'folder (Stinky Trash Kid) (c0)', 'green pixel (0)', 'green pixel (0)', 'green pixel (0)', 'pixel power cell (0)', 'white pixel (0)', 'black pixel (0)', 'red pixel (0)', 'pixel power cell (0)', 'white pixel (0)', 'white pixel (0)', 'black pixel (0)', 'pixel power cell (0)', 'cube of ectoplasm (c0)', 'ghost bit (0)', 'haunted bindle (c100)', 'fleshy lump (c100)', 'smoldering bagel punch (c100)', ""Mr. Screege's spectacles (c100)"", 'Spookyraven signet (c100)', 'tie-dyed fannypack (c100)', 'burnt snowpants (c100)', 'standards and practices guide (c100)', 'Carpathian longsword (c100)', ""Unfortunato's foolscap (c100)"", 'Rubee&trade; (n100)', 'ghostly ectoplasm (100)', 'ghostly ectoplasm (10)', 'ghostly ectoplasm (1)', 'white pixel (80)', 'white pixel (70)', 'white pixel (60)', 'white pixel (50)', 'white pixel (40)', 'ghost cucumber (50)', 'ghost cucumber (20)', 'ghost beer (0)', 'ghostly dagger (0)', 'Haunted Sorority House staff guide (0)', 'ghostly body paint (0)', 'Ecto-Cooler (0)', 'ghost protocol (0)', 'extra-see-thru nightie (0)', 'BOOterfinger (n100)', 'mimeplasm (c100)', 'blue pixel (0)', 'white pixel (0)', 'white pixel (0)']"
The Spooky Gravy Burrow,1000,"['spooky mushroom (40)', 'halfberd (5)', 'small leather glove (10)', 'spooky mushroom (40)', 'teeny-tiny ninja stars (5)', 'tiny ninja sword (5)', 'spooky mushroom (40)', 'enchanted toothpick (5)', 'spooky gravy fairy warlock hat (c0)']"
Unleash Your Inner Wolf,1000,[]
The Spooky Old Abandoned Mine,1000,"['spooky lasso (20)', 'plaid cowboy hat (5)', ""rusted-out shootin' iron (5)"", 'skeleton beans (c0)', 'rattler rattle (40)', ""minin' dynamite (20)"", ""minin' dynamite (1)"", 'lump of goofball ore (c0)', 'big bag of money (n100)']"
The SMOOCH Army HQ,1000,"['SMOOCH soda (0)', 'heat-resistant sheet metal (0)', 'SMOOCH soda (0)', 'heat-resistant sheet metal (0)', 'heat-resistant sheet metal (0)', 'SMOOCH soda (0)', 'heat-resistant sheet metal (0)', 'heat-resistant sheet metal (0)', 'heat-resistant sheet metal (0)', 'the tongue of Smimmons (n100)', 'demon makeup kit (n100)', ""Raul's guitar pick (n100)"", 'love (n100)', ""Pener's crisps (n100)"", ""Pener's drumstick (n100)"", 'signed deuce (n100)', 'little deuce cape (n100)']"
Uncle Gator's Country Fun-Time Liquid Waste Sluice,1000,"['jar of swamp honey (0)', 'backwoods banjo (c0)', 'turtle voicebox (0)', 'fake washboard (c0)', 'grody jug (0)', 'ratskin pajama pants (c0)']"
Trick-or-Treating,1000,"['carton of rotten eggs (15)', 'slingshot (5)', 'spray paint (10)', 'security flashlight (10)', 'unused walkie-talkie (1)', 'Way More Tears&trade; pepper spray (15)', 'bottle of whiskey (15)', 'Effermint&trade; tablets (10)', 'sturdy cane (5)', ""All-Hallow's Steve's fright wig (n100)""]"
